##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	F6703_372760_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24065275
1106	130-134	-0.08460522430367234
1106	135-139	-0.04071960099916794
1106	140-144	-0.057671162834580514
1106	145-149	-0.0908197066488512
1106	150	-0.07587266318209629
1107	1	-0.03541323945096764
1107	2	-0.049102774711755615
1107	3	0.015457360496526462
1107	4	-0.06049953983198719
1107	5	-0.051280934158732805
1107	6	-0.03953683582275147
1107	7	-0.0017009970112695783
1107	8	-0.04758147844476923
1107	9	-0.03401333490558045
1107	10-14	-0.013198669108987815
1107	15-19	-0.04431149325336747
1107	20-24	-0.06278116697001224
1107	25-29	-0.06450260687958576
1107	30-34	-0.08538454026565745
1107	35-39	-0.045777748803445206
1107	40-44	-0.04399060782201758
1107	45-49	-0.05294410681199224
1107	50-54	-0.05061596640192789
1107	55-59	-0.017961199349130652
1107	60-64	-0.07424838236693887
1107	65-69	-0.045661035458344656
1107	70-74	-0.035432142927732
1107	75-79	-0.016044380921719892
1107	80-84	-0.05253482369450779
1107	85-89	-0.09111867728200451
1107	90-94	-0.10035810561254976
1107	95-99	-0.060922890369845106
1107	100-104	-0.08099884420042969
