#Position (bp)	insert size
3.224185272E9	1532.8674885177854
3.227369036E9	21129.645277207394
3.2298928435E9	0.0
3.2301042805E9	0.0
3.2302653395E9	831.0910394265233
3.2304298405E9	0.0
3.230578831E9	0.0
3.2308109625E9	867.1428571428571
3.2311861265E9	0.0
3.231488962E9	759.5
3.231720614E9	0.0
3.231991785E9	12974.266666666666
3.2321666995E9	235.0
3.232216515E9	0.0
3.2323221585E9	481.4583333333333
3.2325224045E9	0.0
3.232694619E9	0.0
3.2328560365E9	0.0
3.233001453E9	722.8426763110307
3.233110552E9	347.0
3.233195703E9	63231.0
3.233719122E9	2880.0
3.2344825705E9	534.4742547425474
3.234858778E9	0.0
3.2350518705E9	0.0
3.2352970795E9	278.6666666666667
3.235487229E9	2929.7625099285146
3.23556284E9	0.0
3.2357844895E9	311.6666666666667
3.2360469455E9	0.0
3.236148746E9	0.0
3.2362408545E9	0.0
3.2363769755E9	0.0
